-0.393531 ,-0.421737 ,-0.816867, -0.889472 
-0.707093 ,0.706706 ,-0.0242158, -0.0373146 
0.587497 ,0.568071 ,-0.576318, 0.169594 
0 ,0 ,0, 1 
-0.393531 ,-0.421737 ,-0.816867, -0.889472 
-0.707093 ,0.706706 ,-0.0242158, -0.0373146 
0.587497 ,0.568071 ,-0.576318, 0.169594 
0 ,0 ,0, 1 
-0.393531 ,-0.421737 ,-0.816867, -0.889472 
-0.707093 ,0.706706 ,-0.0242158, -0.0373146 
0.587497 ,0.568071 ,-0.576318, 0.169594 
0 ,0 ,0, 1 
-0.393531 ,-0.421737 ,-0.816867, -0.889472 
-0.707093 ,0.706706 ,-0.0242158, -0.0373146 
0.587497 ,0.568071 ,-0.576318, 0.169594 
0 ,0 ,0, 1 
-0.393531 ,-0.421737 ,-0.816867, -0.889472 
-0.707093 ,0.706706 ,-0.0242158, -0.0373146 
0.587497 ,0.568071 ,-0.576318, 0.169594 
0 ,0 ,0, 1 
-0.393531 ,-0.421737 ,-0.816867, -0.889472 
-0.707093 ,0.706706 ,-0.0242158, -0.0373146 
0.587497 ,0.568071 ,-0.576318, 0.169594 
0 ,0 ,0, 1 
-0.393531 ,-0.421737 ,-0.816867, -0.889472 
-0.707093 ,0.706706 ,-0.0242158, -0.0373146 
0.587497 ,0.568071 ,-0.576318, 0.169594 
0 ,0 ,0, 1 
-0.393531 ,-0.421737 ,-0.816867, -0.889472 
-0.707093 ,0.706706 ,-0.0242158, -0.0373146 
0.587497 ,0.568071 ,-0.576318, 0.169594 
0 ,0 ,0, 1 
-0.393531 ,-0.421737 ,-0.816867, -0.889472 
-0.707093 ,0.706706 ,-0.0242158, -0.0373146 
0.587497 ,0.568071 ,-0.576318, 0.169594 
0 ,0 ,0, 1 
-0.393529 ,-0.421737 ,-0.816868, -0.889473 
-0.707093 ,0.706706 ,-0.0242169, -0.0373151 
0.587498 ,0.568071 ,-0.576317, 0.169594 
0 ,0 ,0, 1 
-0.393531 ,-0.421737 ,-0.816867, -0.889472 
-0.707093 ,0.706706 ,-0.0242158, -0.0373146 
0.587497 ,0.568071 ,-0.576318, 0.169594 
0 ,0 ,0, 1 
-0.393531 ,-0.421737 ,-0.816867, -0.889472 
-0.707093 ,0.706706 ,-0.0242158, -0.0373146 
0.587497 ,0.568071 ,-0.576318, 0.169594 
0 ,0 ,0, 1 
-0.393531 ,-0.421737 ,-0.816867, -0.889472 
-0.707093 ,0.706706 ,-0.0242158, -0.0373146 
0.587497 ,0.568071 ,-0.576318, 0.169594 
0 ,0 ,0, 1 
-0.393531 ,-0.421737 ,-0.816867, -0.889472 
-0.707093 ,0.706706 ,-0.0242158, -0.0373146 
0.587497 ,0.568071 ,-0.576318, 0.169594 
0 ,0 ,0, 1 
-0.393531 ,-0.421737 ,-0.816867, -0.889472 
-0.707093 ,0.706706 ,-0.0242158, -0.0373146 
0.587497 ,0.568071 ,-0.576318, 0.169594 
0 ,0 ,0, 1 
-0.393532 ,-0.421736 ,-0.816867, -0.889472 
-0.707092 ,0.706707 ,-0.0242158, -0.0373146 
0.587498 ,0.56807 ,-0.576318, 0.169594 
0 ,0 ,0, 1 
-0.393532 ,-0.421736 ,-0.816867, -0.889472 
-0.707092 ,0.706707 ,-0.0242158, -0.0373146 
0.587498 ,0.56807 ,-0.576318, 0.169594 
0 ,0 ,0, 1 
-0.393532 ,-0.421735 ,-0.816867, -0.889472 
-0.70709 ,0.706708 ,-0.0242158, -0.0373146 
0.587499 ,0.568069 ,-0.576318, 0.169594 
0 ,0 ,0, 1 
-0.393534 ,-0.421734 ,-0.816867, -0.889473 
-0.707087 ,0.706711 ,-0.0242158, -0.0373146 
0.587502 ,0.568066 ,-0.576318, 0.169594 
0 ,0 ,0, 1 
-0.393539 ,-0.421728 ,-0.816868, -0.889473 
-0.707079 ,0.70672 ,-0.0242159, -0.0373147 
0.587509 ,0.56806 ,-0.576317, 0.169595 
